Week 1: Deconstructing the Software Development Process - Introduction,https://www.youtube.com/watch?v=hKm_rh1RTJQ
Thinking of Software in terms of Components,https://www.youtube.com/watch?v=81BaOIrfvJA
Software Development Process - Requirement Specification,https://www.youtube.com/watch?v=SU2CBhSFUUA
Software Development Process - Software Design and Development,https://www.youtube.com/watch?v=iNqfWUN_hrc
Testing and Maintenance,https://www.youtube.com/watch?v=3uokL_BdoiU
Software Development Models - Waterfall (Plan and Document) Model,https://www.youtube.com/watch?v=938T0bC7ls0
Software Development - Agile,https://www.youtube.com/watch?v=nQzRUGuEDXs
Week 2: Software Requirements - Requirements Gathering and Analysis,https://www.youtube.com/watch?v=6cjKDEoCvMc
Identifying Users and Requirements,https://www.youtube.com/watch?v=L9-CUa0BlLk
Software Requirement Specification,https://www.youtube.com/watch?v=Ml0HET0Va_c
Behaviour Driven Design - User StoriesBehaviour Driven Design - User Stories,https://www.youtube.com/watch?v=_KH9dSFVYTs
Week 3: Software User Interfaces - Introduction to Interaction Design,https://www.youtube.com/watch?v=BOCF3RefE54
Usability goals,https://www.youtube.com/watch?v=I1s8WWUMGQs
Prototyping Techniques,https://www.youtube.com/watch?v=jQ_vO3xjFt0
Evaluation using Design Heuristics - Heuristics for Understanding,https://www.youtube.com/watch?v=Z975GdR1l40
Evaluation using Design Heuristics - Heuristics for Action,https://www.youtube.com/watch?v=EWEuCseFVEI
Evaluation using Design Heuristics - Heuristics for Feedback,https://www.youtube.com/watch?v=lq1kTWFG3Z0
Week 4: Software Project management - Project Management Overview,https://www.youtube.com/watch?v=MXz_9ds6PJM
Project Estimation Techniques,https://www.youtube.com/watch?v=YdlzO3l-jO0
Project Scheduling,https://www.youtube.com/watch?v=zT1KOXqgZxU
Risk Management,https://www.youtube.com/watch?v=nJ6JaNXWP2o
Project Management in Agile,https://www.youtube.com/watch?v=54t-QUr9h18
Pivotal Tracker Tutorial,https://www.youtube.com/watch?v=3Yje9oOOaFc
Week 5: Software Design,https://www.youtube.com/watch?v=U7QdwI5M2rQ
Design Modularity,https://www.youtube.com/watch?v=8XosX-3061s
Object Oriented Design: Basic Concepts,https://www.youtube.com/watch?v=iWnjlZItfeg
Unified Modelling Language Diagrams,https://www.youtube.com/watch?v=UCK8VMTfyQw
VeriSIM: A Learning Environment for Comprehending Software Designs,https://www.youtube.com/watch?v=FkI4bAGfUSw
Week 7: Software Development,https://www.youtube.com/watch?v=vx1iqayBH64
Rest APIs,https://www.youtube.com/watch?v=eR9jf-0tS78
Debugging,https://www.youtube.com/watch?v=XUGbMazlZUk
Software Metrics,https://www.youtube.com/watch?v=OTEVcP89pFk
Writing Clean Code,https://www.youtube.com/watch?v=PA1cKpKQ5DA
Version Control Systems,https://www.youtube.com/watch?v=64s1MyvjrG0
Issue tracking and code review,https://www.youtube.com/watch?v=uG7-puhBGxw
Software Architecture,https://www.youtube.com/watch?v=0JEXPcS_L_w
SOLID - Principles I,https://www.youtube.com/watch?v=oPed712RsOY
Design Patterns - Creational,https://www.youtube.com/watch?v=CCfQ4ZmlWaw
Design Patterns - Structural,https://www.youtube.com/watch?v=-KTUKkeyRHM
Testing - Motivation and Terminologies,https://www.youtube.com/watch?v=lPjCyK4aPx4
Unit Testing,https://www.youtube.com/watch?v=etKOSO7pdds
Blackbox and Whitebox Testing,https://www.youtube.com/watch?v=lz_VgWtMBZk
Integration and System Testing,https://www.youtube.com/watch?v=ZleOwCsU2D8
Test-Driven Development (TDD),https://www.youtube.com/watch?v=Z6B4rBb7zAw
Deployment Environments and strategies,https://www.youtube.com/watch?v=xa4OhKYLlX0
Deployment Hosting,https://www.youtube.com/watch?v=0x_qmR4B5jI
Tutorial - IaaS - Digital Ocean,https://www.youtube.com/watch?v=_jLN5bAVLf0
PaaS - Tutorial - Heroku,https://www.youtube.com/watch?v=9-l3exY3nn8
Continuous Integration,https://www.youtube.com/watch?v=lc0-ltEq4Lk
Performance and Monitoring,https://www.youtube.com/watch?v=YaEEuzjRuGg
Software Organizations,https://www.youtube.com/watch?v=Sp2yeaVe13Y
Communication, Collaboration and Productivity,https://www.youtube.com/watch?v=D9g6iH-9Qwc
LeD8 3,https://www.youtube.com/watch?v=KPyFLiFehgU
